Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Small,Random Projection,5,5,43,0.5797101449275363,0.5714285714285714,0.5882352941176471,0.5797101449275363,0.5705882352941176,0.00423729297472164
Small,Baseline,536,5,43010,0.7971014492753623,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.8357142857142857,0.004557124979328364
Small,PCA,10,5,43,0.7681159420289855,0.75,0.7941176470588235,0.7714285714285715,0.846218487394958,0.005178874998819083
Small,Random Projection,10,5,43,0.7246376811594203,0.7142857142857143,0.7352941176470589,0.7246376811594203,0.8084033613445377,0.004954166943207383
Small,Baseline,536,5,43020,0.6666666666666666,0.72,0.5294117647058824,0.6101694915254238,0.7453781512605041,0.005011916975490749
Small,PCA,20,5,43,0.8405797101449275,0.8285714285714286,0.8529411764705882,0.8405797101449275,0.8865546218487395,0.005519333004485816
Small,Random Projection,20,5,43,0.8260869565217391,0.8055555555555556,0.8529411764705882,0.8285714285714286,0.8457983193277311,0.004392000031657517
Small,Baseline,536,5,43050,0.7681159420289855,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.8487394957983194,0.0056042500073090196
Small,PCA,50,5,43,0.7681159420289855,0.78125,0.7352941176470589,0.7575757575757576,0.8483193277310925,0.008128417015541345
Small,Random Projection,50,5,43,0.8260869565217391,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8936974789915966,0.00707266601966694
Small,Baseline,536,5,43100,0.7246376811594203,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.8121848739495798,0.005785917048342526
Small,PCA,100,5,43,0.782608695652174,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.8537815126050421,0.009534166019875556
Small,Random Projection,100,5,43,0.782608695652174,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8512605042016806,0.009079542011022568
Medium,Baseline,561,5,43002,0.8846284356973193,0.8893084420465082,0.8807942905953275,0.8825779247248682,0.9687441525243065,0.1713023329502903
Medium,PCA,2,5,43,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.05159904103493318
Medium,Random Projection,2,5,43,0.3949779436715304,0.3919126326387308,0.3854174649547098,0.38166910321130015,0.7499857882966777,0.022062376025132835
Medium,Baseline,561,5,43005,0.8873430607397353,0.8918153897491216,0.8821158087876285,0.8835212064429854,0.972243101533886,0.24582570797065273
Medium,PCA,5,5,43,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.08694450004259124
Medium,Random Projection,5,5,43,0.6270783847980997,0.6323653478938066,0.6184658532176348,0.6188448045402638,0.8799918207695198,0.04182204103562981
Medium,Baseline,561,5,43010,0.8775025449609772,0.8824545898259721,0.8727087120625653,0.8743020788121942,0.9725767435006639,0.17474895803024992
Medium,PCA,10,5,43,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.08218900003703311
